[tale] 2018-06-30 18:41:32,103 INFO  [main] com.blade.mvc.route.Routers | Add Route => GET	/links.html
[tale] 2018-06-30 18:41:32,103 INFO  [main] com.blade.mvc.route.Routers | Add Route => GET	/archives
[tale] 2018-06-30 18:41:32,103 INFO  [main] com.blade.mvc.route.Routers | Add Route => GET	/archives.html
[tale] 2018-06-30 18:41:32,104 INFO  [main] com.blade.mvc.route.Routers | Add Route => GET	/feed
[tale] 2018-06-30 18:41:32,104 INFO  [main] com.blade.mvc.route.Routers | Add Route => GET	/feed.xml
[tale] 2018-06-30 18:41:32,105 INFO  [main] com.blade.mvc.route.Routers | Add Route => GET	/admin/article
[tale] 2018-06-30 18:41:32,106 INFO  [main] com.blade.mvc.route.Routers | Add Route => ALL	/admin/article/delete
[tale] 2018-06-30 18:41:32,108 INFO  [main] com.blade.mvc.route.Routers | Add Route => POST	/admin/article/publish
[tale] 2018-06-30 18:41:32,109 INFO  [main] com.blade.mvc.route.Routers | Add Route => GET	/admin/article/:cid
[tale] 2018-06-30 18:41:32,110 INFO  [main] com.blade.mvc.route.Routers | Add Route => POST	/admin/article/modify
[tale] 2018-06-30 18:41:32,110 INFO  [main] com.blade.mvc.route.Routers | Add Route => GET	/admin/article/publish
[tale] 2018-06-30 18:41:32,112 INFO  [main] com.blade.mvc.route.Routers | Add Route => GET	/admin/themes
[tale] 2018-06-30 18:41:32,112 INFO  [main] com.blade.mvc.route.Routers | Add Route => GET	/admin/themes/setting
[tale] 2018-06-30 18:41:32,115 INFO  [main] com.blade.mvc.route.Routers | Add Route => POST	/admin/themes/setting
[tale] 2018-06-30 18:41:32,115 INFO  [main] com.blade.mvc.route.Routers | Add Route => POST	/admin/themes/active
[tale] 2018-06-30 18:41:32,116 INFO  [main] com.blade.mvc.route.Routers | Add Route => GET	/admin
[tale] 2018-06-30 18:41:32,116 INFO  [main] com.blade.mvc.route.Routers | Add Route => GET	/admin/index
[tale] 2018-06-30 18:41:32,117 INFO  [main] com.blade.mvc.route.Routers | Add Route => GET	/admin/profile
[tale] 2018-06-30 18:41:32,117 INFO  [main] com.blade.mvc.route.Routers | Add Route => GET	/admin/reload
