[tale] 2020-03-15 05:48:30,613 INFO  [main] com.blade.mvc.route.Routers | Add Route => GET	/archives.html
[tale] 2020-03-15 05:48:30,614 INFO  [main] com.blade.mvc.route.Routers | Add Route => GET	/feed
[tale] 2020-03-15 05:48:30,614 INFO  [main] com.blade.mvc.route.Routers | Add Route => GET	/feed.xml
[tale] 2020-03-15 05:48:30,614 INFO  [main] com.blade.mvc.route.Routers | Add Route => GET	/page/:page
[tale] 2020-03-15 05:48:30,614 INFO  [main] com.blade.mvc.route.Routers | Add Route => GET	/page/:page.html
[tale] 2020-03-15 05:48:30,614 INFO  [main] com.blade.mvc.route.Routers | Add Route => GET	/
[tale] 2020-03-15 05:48:30,615 INFO  [main] com.blade.mvc.route.Routers | Add Route => POST	/comment
[tale] 2020-03-15 05:48:30,615 INFO  [main] com.blade.mvc.route.Routers | Add Route => GET	/search/:keyword/:page
[tale] 2020-03-15 05:48:30,615 INFO  [main] com.blade.mvc.route.Routers | Add Route => GET	/search/:keyword/:page.html
[tale] 2020-03-15 05:48:30,615 INFO  [main] com.blade.mvc.route.Routers | Add Route => GET	/search/:keyword
[tale] 2020-03-15 05:48:30,626 INFO  [main] com.blade.mvc.route.Routers | Add Route => GET	/search/:keyword.html
[tale] 2020-03-15 05:48:30,626 INFO  [main] com.blade.mvc.route.Routers | Add Route => ALL	/search
[tale] 2020-03-15 05:48:30,627 INFO  [main] com.blade.mvc.route.Routers | Add Route => ALL	/search.html
[tale] 2020-03-15 05:48:30,627 INFO  [main] com.blade.mvc.route.Routers | Add Route => GET	/admin/login
[tale] 2020-03-15 05:48:30,628 INFO  [main] com.blade.mvc.route.Routers | Add Route => POST	/admin/login
[tale] 2020-03-15 05:48:30,628 INFO  [main] com.blade.mvc.route.Routers | Add Route => GET	/admin/reload
[tale] 2020-03-15 05:48:30,629 INFO  [main] com.blade.mvc.route.Routers | Add Route => POST	/admin/backup
[tale] 2020-03-15 05:48:30,629 INFO  [main] com.blade.mvc.route.Routers | Add Route => GET	/admin/setting
[tale] 2020-03-15 05:48:30,630 INFO  [main] com.blade.mvc.route.Routers | Add Route => POST	/admin/setting
[tale] 2020-03-15 05:48:30,630 INFO  [main] com.blade.mvc.route.Routers | Add Route => POST	/admin/profile
[tale] 2020-03-15 05:48:30,630 INFO  [main] com.blade.mvc.route.Routers | Add Route => POST	/admin/password
[tale] 2020-03-15 05:48:30,631 INFO  [main] com.blade.mvc.route.Routers | Add Route => POST	/admin/advanced
[tale] 2020-03-15 05:48:30,631 INFO  [main] com.blade.mvc.route.Routers | Add Route => GET	/admin
[tale] 2020-03-15 05:48:30,631 INFO  [main] com.blade.mvc.route.Routers | Add Route => GET	/admin/index
[tale] 2020-03-15 05:48:30,635 INFO  [main] com.blade.mvc.route.Routers | Add Route => GET	/admin/profile
[tale] 2020-03-15 05:48:30,636 INFO  [main] com.blade.mvc.route.Routers | Add Route => GET	/admin/article/publish
[tale] 2020-03-15 05:48:30,636 INFO  [main] com.blade.mvc.route.Routers | Add Route => GET	/admin/article/:cid
[tale] 2020-03-15 05:48:30,636 INFO  [main] com.blade.mvc.route.Routers | Add Route => POST	/admin/article/publish
[tale] 2020-03-15 05:48:30,637 INFO  [main] com.blade.mvc.route.Routers | Add Route => POST	/admin/article/modify
[tale] 2020-03-15 05:48:30,637 INFO  [main] com.blade.mvc.route.Routers | Add Route => GET	/admin/article
[tale] 2020-03-15 05:48:30,637 INFO  [main] com.blade.mvc.route.Routers | Add Route => ALL	/admin/article/delete
[tale] 2020-03-15 05:48:30,638 INFO  [main] com.blade.mvc.route.Routers | Add Route => POST	/admin/category/save
[tale] 2020-03-15 05:48:30,638 INFO  [main] com.blade.mvc.route.Routers | Add Route => GET	/admin/category
[tale] 2020-03-15 05:48:30,648 INFO  [main] com.blade.mvc.route.Routers | Add Route => ALL	/admin/category/delete
[tale] 2020-03-15 05:48:30,668 INFO  [main] com.blade.mvc.route.Routers | Add Interceptor: BEFORE	/.*
[tale] 2020-03-15 05:48:30,668 INFO  [main] com.blade.mvc.route.Routers | Add Interceptor: AFTER	/.*
[tale] 2020-03-15 05:48:30,688 WARN  [main] com.blade.ioc.Ioc | Duplicated Bean: com.tale.init.WebContext
[tale] 2020-03-15 05:48:30,831 INFO  [main] com.tale.init.SqliteJdbc | database path is: /usr/share/nginx/html/tale/resources/tale.db
[tale] 2020-03-15 05:48:30,842 INFO  [main] com.blade.ioc.IocApplication | Add Object: [com.tale.controller.admin.AuthController@6366ebe0, com.tale.controller.admin.AttachController@44f75083, com.tale.controller.IndexController@2698dc7, com.tale.service.impl.AttachServiceImpl@43d7741f, com.tale.controller.admin.IndexController@17baae6e, com.tale.controller.admin.CommentController@69379752, com.tale.interceptor.BaseInterceptor@27fe3806, com.tale.service.impl.UsersServiceImpl@5f71c76a, com.tale.init.WebContext@1d7acb34, com.tale.controller.admin.LinksController@48a242ce, com.tale.service.impl.SiteServiceImpl@1e4a7dd4, com.tale.init.WebContext@4f51b3e0, com.tale.service.impl.ContentsServiceImpl@4b9e255, com.tale.service.impl.SiteServiceImpl@1e4a7dd4, com.tale.service.impl.OptionsServiceImpl@5e57643e, com.blade.jdbc.ar.SampleActiveRecord@133e16fd, com.tale.controller.admin.ThemeController@51b279c9, com.tale.service.impl.UsersServiceImpl@5f71c76a, com.tale.service.impl.AttachServiceImpl@43d7741f, com.tale.controller.admin.CategoryController@1ad282e0, com.tale.service.impl.CommentsServiceImpl@7f416310, com.tale.service.impl.CommentsServiceImpl@7f416310, com.tale.controller.admin.PageController@1cab0bfb, com.tale.service.impl.MetasServiceImpl@5e955596, com.tale.controller.InstallController@50de0926, com.tale.interceptor.BaseInterceptor@27fe3806, com.tale.service.impl.ContentsServiceImpl@4b9e255, com.tale.service.impl.MetasServiceImpl@5e955596, com.tale.service.impl.LogServiceImpl@2473b9ce, com.tale.service.impl.OptionsServiceImpl@5e57643e, com.tale.controller.admin.ArticleController@60438a68, com.tale.service.impl.LogServiceImpl@2473b9ce, com.tale.init.WebContext@4f51b3e0, com.blade.jdbc.ar.SampleActiveRecord@133e16fd]
[tale] 2020-03-15 05:48:30,875 INFO  [main] com.blade.mvc.context.BladeInitListener | blade.isDev	=> false

		 __, _,   _, __, __,
		 |_) |   /_\ | \ |_
		 |_) | , | | |_/ |
		 ~   ~~~ ~ ~ ~   ~~~
		 :: Blade :: (v1.7.2-alpha)

[tale] 2020-03-15 05:48:30,876 INFO  [main] com.blade.mvc.context.BladeInitListener | Tale (塌了) initialize successfully, Time elapsed: 339 ms.
[tale] 2020-03-15 05:48:30,923 INFO  [main] jetbrick.template.JetEngineImpl | JetEngine.version = 2.1.2
[tale] 2020-03-15 05:48:30,923 INFO  [main] jetbrick.template.JetEngineImpl | JetEngine.loader = jetbrick.template.loader.ClasspathResourceLoader, root = /templates/, reload = true
[tale] 2020-03-15 05:48:30,928 INFO  [main] jetbrick.template.resolver.clazz.ClassResolver | import package: java.lang.*
[tale] 2020-03-15 05:48:30,928 INFO  [main] jetbrick.template.resolver.clazz.ClassResolver | import package: java.util.*
[tale] 2020-03-15 05:48:30,929 INFO  [main] jetbrick.template.resolver.method.MethodInvokerResolver | import 29 methods from class jetbrick.template.runtime.buildin.JetMethods
[tale] 2020-03-15 05:48:30,930 INFO  [main] jetbrick.template.resolver.function.FunctionInvokerResolver | import 11 functions from class jetbrick.template.runtime.buildin.JetFunctions
[tale] 2020-03-15 05:48:30,931 INFO  [main] jetbrick.template.resolver.tag.TagInvokerResolver | import 2 tags from class jetbrick.template.runtime.buildin.JetTags
[tale] 2020-03-15 05:48:30,944 INFO  [main] jetbrick.template.JetTemplateImpl | Loading template: /comm/macros.html
[tale] 2020-03-15 05:48:31,138 INFO  [main] jetbrick.template.JetTemplateImpl | Loading template: /themes/theme_greyshade/macros.html
[tale] 2020-03-15 05:48:31,145 INFO  [main] jetbrick.template.resolver.function.FunctionInvokerResolver | import 19 functions from class com.tale.ext.Commons
[tale] 2020-03-15 05:48:31,154 INFO  [main] jetbrick.template.resolver.function.FunctionInvokerResolver | import 47 functions from class com.tale.ext.Theme
[tale] 2020-03-15 05:48:31,155 INFO  [main] jetbrick.template.resolver.function.FunctionInvokerResolver | import 2 functions from class com.tale.ext.AdminCommons
[tale] 2020-03-15 05:48:31,155 INFO  [main] jetbrick.template.resolver.tag.TagInvokerResolver | import 1 tags from class com.tale.ext.JetTag
[tale] 2020-03-15 05:48:31,212 DEBUG [main] org.sql2o.Query | Executing query:
select description,name,value from t_options order by name desc
[tale] 2020-03-15 05:48:31,224 DEBUG [main] org.sql2o.Query | total: 13 ms, execution: 5 ms, reading and parsing: 8 ms; executed [null]
[tale] 2020-03-15 05:48:31,283 INFO  [main] com.blade.mvc.dispatch.AbsDispatcherServlet | init worker thread pool.
[tale] 2020-03-15 05:48:31,284 INFO  [main] org.eclipse.jetty.server.handler.ContextHandler | Started o.e.j.w.WebAppContext@4e50c791{/,jar:file:/usr/share/nginx/html/tale/tale-1.2.15.jar!/,AVAILABLE}
[tale] 2020-03-15 05:48:31,313 INFO  [main] org.eclipse.jetty.server.AbstractConnector | Started ServerConnector@5c90e579{HTTP/1.1,[http/1.1]}{0.0.0.0:80}
[tale] 2020-03-15 05:48:31,314 INFO  [main] org.eclipse.jetty.server.Server | Started @2713ms
[tale] 2020-03-15 05:48:31,314 INFO  [main] com.blade.embedd.EmbedJettyServer | Blade Server Listen on 0.0.0.0:80
[tale] 2020-03-15 06:16:25,346 INFO  [blade-pool-14] com.blade.mvc.dispatch.DispatcherHandler | GET	/	HTTP/1.1
[tale] 2020-03-15 06:16:25,371 INFO  [blade-pool-14] com.tale.interceptor.BaseInterceptor | UserAgent: Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36
[tale] 2020-03-15 06:16:25,372 INFO  [blade-pool-14] com.tale.interceptor.BaseInterceptor | 用户访问地址: /, 来路地址: 61.5.120.120
[tale] 2020-03-15 06:16:25,407 DEBUG [blade-pool-14] org.sql2o.Query | Executing query:
select count(0) from (select allow_comment,allow_feed,allow_ping,author_id,categories,cid,comments_num,content,created,fmt_type,hits,modified,slug,status,tags,thumb_img,title,type from t_contents where type = ? and status = ?) tmp_count
[tale] 2020-03-15 06:16:25,408 DEBUG [blade-pool-14] org.sql2o.Query | Executing query:
select count(0) from (select allow_comment,allow_feed,allow_ping,author_id,categories,cid,comments_num,content,created,fmt_type,hits,modified,slug,status,tags,thumb_img,title,type from t_contents where type = ? and status = ?) tmp_count
[tale] 2020-03-15 06:16:25,451 DEBUG [blade-pool-14] org.sql2o.Query | total: 43 ms; executed scalar [No name]
[tale] 2020-03-15 06:16:25,477 DEBUG [blade-pool-14] org.sql2o.Query | Executing query:
